Sample_Source,Date,Time,SampleID,FieldID,Plot,Total_Fiber,Total_Fragment,Total_Shard,Total_Foam,Total_Styrofoam,FiberperMin,FragperMin,ShardperMin,FoamperMin,StyroperMin,Fiber_Concentration,Fragment_Concentration,Shard_Concentration,Foam_Concentration,Styrofoam_Concentration,,Flow (m3/min)
Water Column,4/10/2019,April,"65, 66",190410001-01,1,16.68,4,0,0,1,0.556,0.133333333,0,0,0.033333333,0.001716049,0.000411523,0,0,0.000102881,6.99E-06,324
Water Column,4/10/2019,April,59,190410001-02,1,5.01,3,0,0,0,0.167,0.1,0,0,0,0.000537842,0.000322061,0,0,0,4.15E-06,310.5
Water Column,4/10/2019,April,58,190410001-03,1,9.35,0,0,0,1,0.311666667,0,0,0,0.033333333,0.000982401,0,0,0,0.00010507,5.63E-06,317.25
Water Column,4/10/2019,April,42,190410002-01,2,5.34,1,0,0,0,0.178,0.033333333,0,0,0,0.0003878,7.26E-05,0,0,0,1.11E-06,459
Water Column,4/10/2019,April,"70, 71, 72",190410002-02,2,6.34,2,0,0,0,0.211333333,0.066666667,0,0,0,0.000316249,9.98E-05,0,0,0,5.97E-07,668.25
Water Column,4/10/2019,April,"62, 63, 64",190410002-03,2,7.34,1,0,0,0,0.244666667,0.033333333,0,0,0,0.000442036,6.02E-05,0,0,0,1.20E-06,553.5
Water Column,4/10/2019,April,51,190410003-01,3,4.01,0,0,0,0,0.133666667,0,0,0,0,0.000582426,0,0,0,0,5.70E-06,229.5
Water Column,4/10/2019,April,"67, 68",190410003-02,3,3.34,0,0,0,0,0.111333333,0,0,0,0,0.000471252,0,0,0,0,4.78E-06,236.25
Water Column,4/10/2019,April,53,190410003-03,3,0.67,0,0,0,0,0.022333333,0,0,0,0,0.000100262,0,0,0,0,6.72E-07,222.75
Water Column,4/10/2019,April,49,190410004-01,4,4.34,0,0,0,0,0.144666667,0,0,0,0,0.000549541,0,0,0,0,3.37E-06,263.25
Water Column,4/10/2019,April,48,190410004-02,4,3.34,1,0,1,0,0.111333333,0.033333333,0,0.033333333,0,0.000383577,0.000114844,0,0.000114844,0,2.37E-06,290.25
Water Column,4/10/2019,April,12,190410005-01,5,8.01,0,0,0,0,0.267,0,0,0,0,0.000988889,0,0,0,0,6.86E-06,270
Water Column,4/10/2019,April,50,190410005-02,5,2.67,0,0,0,0,0.089,0,0,0,0,0.00032159,0,0,0,0,2.18E-06,276.75
Water Column,4/10/2019,April,55,190410005-03,5,0.67,0,0,0,0,0.022333333,0,0,0,0,8.94E-05,0,0,0,0,2.14E-06,249.75
Water Column,5/14/2019,May,31,190514001-01,1,8.68,1,0,0,0,0.289333333,0.033333333,0,0,0,0.001478076,0.000170285,0,0,0,1.13E-05,195.75
Water Column,5/14/2019,May,11,190514001-02,1,4.01,0,0,0,0,0.133666667,0,0,0,0,0.000638789,0,0,0,0,5.33E-06,209.25
Water Column,5/14/2019,May,35,190514001-03,1,7.35,0,2,0,0,0.245,0,0.066666667,0,0,0.001296296,0,0.000352734,0,0,1.21E-05,189
Water Column,5/14/2019,May,54,190514002-01,2,2.34,0,0,0,0,0.078,0,0,0,0,0.00025679,0,0,0,0,1.81E-06,303.75
Water Column,5/14/2019,May,57,190514002-02,2,2.01,1,0,0,0,0.067,0.033333333,0,0,0,0.000347546,0.000172909,0,0,0,3.59E-06,192.78
Water Column,5/14/2019,May,61,190514002-03,2,9.35,3,0,0,0,0.311666667,0.1,0,0,0,0.001265703,0.000406108,0,0,0,8.25E-06,246.24
Water Column,5/14/2019,May,6,190514003-01,3,4.68,0,0,0,0,0.156,0,0,0,0,0.001604938,0,0,0,0,3.88E-05,97.2
Water Column,5/14/2019,May,15,190514003-02,3,1.01,1,0,0,0,0.033666667,0.033333333,0,0,0,0.000179154,0.00017738,0,0,0,6.61E-06,187.92
Water Column,5/14/2019,May,22,190514003-03,3,11.02,2,0,0,0,0.367333333,0.066666667,0,0,0,0.005001816,0.000907771,0,0,0,0.000117427,73.44
Water Column,5/14/2019,May,9,190514004-01,4,15.01,1,0,0,0,0.500333333,0.033333333,0,0,0,0.004902345,0.000326605,0,0,0,5.44E-05,102.06
Water Column,5/14/2019,May,43,190514004-02,4,15.34,0,0,1,0,0.511333333,0,0,0.033333333,0,0.004208505,0,0,0.000274348,0,4.06E-05,121.5
Water Column,5/14/2019,May,27,190514004-03,4,9.68,1,0,0,0,0.322666667,0.033333333,0,0,0,0.002510634,0.000259363,0,0,0,2.42E-05,128.52
Water Column,5/14/2019,May,52,190514005-01,5,2.34,1,0,0,0,0.078,0.033333333,0,0,0,0.001146384,0.000489908,0,0,0,2.88E-05,68.04
Water Column,5/14/2019,May,23,190514005-02,5,3.68,2,0,0,0,0.122666667,0.066666667,0,0,0,0.000865373,0.000470312,0,0,0,9.95E-06,141.75
Water Column,5/14/2019,May,21,190514005-03,5,0.34,0,0,0,0,0.011333333,0,0,0,0,0.000145748,0,0,0,0,1.65E-05,77.76
Water Column,6/17/2019,June,34,190617001-01,1,3.68,1,0,0,0,0.122666667,0.033333333,0,0,0,0.001201907,0.000326605,0,0,0,1.92E-05,102.06
Water Column,6/17/2019,June,17,190617001-02,1,15.01,0,0,0,0,0.500333333,0,0,0,0,0.003369248,0,0,0,0,2.72E-05,148.5
Water Column,6/17/2019,June,14,190617001-03,1,12.68,1,0,0,0,0.422666667,0.033333333,0,0,0,0.002722491,0.000214707,0,0,0,2.35E-05,155.25
Water Column,6/17/2019,June,56,190617002-01,2,5.68,0,0,0,0,0.189333333,0,0,0,0,0.000749182,0,0,0,0,6.78E-06,252.72
Water Column,6/17/2019,June,60,190617002-02,2,7.01,0,0,0,0,0.233666667,0,0,0,0,0.000706475,0,0,0,0,2.74E-06,330.75
Water Column,6/17/2019,June,10,190617002-03,2,1.67,0,0,0,0,0.055666667,0,0,0,0,0.000387543,0,0,0,0,1.29E-05,143.64
Water Column,6/17/2019,June,28,190617003-01,3,1.67,2,0,0,0,0.055666667,0.066666667,0,0,0,0.000866272,0.001037452,0,0,0,2.42E-05,64.26
Water Column,6/17/2019,June,24,190617003-02,3,8.35,3,0,0,0,0.278333333,0.1,0,0,0,0.00277114,0.000995619,0,0,0,4.96E-05,100.44
Water Column,6/17/2019,June,29,190617003-03,3,5.01,0,0,0,0,0.167,0,0,0,0,0.00951567,0,0,0,0,0.001298691,17.55
Water Column,6/17/2019,June,39,190617004-01,4,8.68,2,0,3,0,0.289333333,0.066666667,0,0.1,0,0.0031893,0.000734862,0,0.001102293,0,4.86E-05,90.72
Water Column,6/17/2019,June,26,190617004-02,4,6.68,2,0,0,0,0.222666667,0.066666667,0,0,0,0.00194045,0.000580973,0,0,0,3.04E-05,114.75
Water Column,6/17/2019,June,38,190617004-03,4,4.68,0,0,0,0,0.156,0,0,0,0,0.001540741,0,0,0,0,2.93E-05,101.25
Water Column,6/17/2019,June,30,190617005-01,5,0.67,1,0,0,0,0.022333333,0.033333333,0,0,0,0.000300786,0.000448934,0,0,0,1.81E-05,74.25
Water Column,6/17/2019,June,33,190617005-02,5,5.35,3,0,0,0,0.178333333,0.1,0,0,0,0.002001496,0.001122334,0,0,0,5.46E-05,89.1
Water Column,6/17/2019,June,25,190617005-03,5,7.35,2,0,0,0,0.245,0.066666667,0,0,0,0.004582866,0.001247038,0,0,0,0.000116633,53.46
Water Column,7/29/2019,July,3,190729001-01,1,12.02,1,0,0,0,0.400666667,0.033333333,0,0,0,0.004122085,0.000342936,0,0,0,7.06E-05,97.2
Water Column,7/29/2019,July,2,190729001-02,1,25.35,1,0,0,0,0.845,0.033333333,0,0,0,0.011854658,0.000467639,0,0,0,0.0002165,71.28
Water Column,7/29/2019,July,13,190729001-03,1,8.35,0,0,0,0,0.278333333,0,0,0,0,0.003735015,0,0,0,0,9.60E-05,74.52
Water Column,7/29/2019,July,7,190729004-01,4,5.68,1,0,0,0,0.189333333,0.033333333,0,0,0,0.004869684,0.000857339,0,0,0,0.000286662,38.88
Water Column,7/29/2019,July,18,190729004-02,4,2.01,3,0,0,2,0.067,0.1,0,0,0.066666667,0.001417989,0.002116402,0,0,0.001410935,5.97E-05,47.25
Water Column,7/29/2019,July,36,190729004-03,4,3.01,2,0,0,0,0.100333333,0.066666667,0,0,0,0.003231347,0.002147075,0,0,0,0.000172872,31.05
Water Column,7/29/2019,July,5,190729005-01,5,14.02,0,0,0,0,0.467333333,0,0,0,0,0.012726943,0,0,0,0,0.000543871,36.72
Water Column,7/29/2019,July,8,190729005-02,5,9.35,0,0,0,0,0.311666667,0,0,0,0,0.009619342,0,0,0,0,0.000539806,32.4
Water Column,7/29/2019,July,4,190729005-03,5,5.01,0,0,0,0,0.167,0,0,0,0,0.008590535,0,0,0,0,0.000705629,19.44
Water Column,7/29/2019,July,41,190730002-01,2,12.01,2,0,0,0,0.400333333,0.066666667,0,0,0,0.00200367,0.000333667,0,0,0,1.17E-05,199.8
Water Column,7/29/2019,July,45,190730002-02,2,12.35,0,0,1,0,0.411666667,0,0,0.033333333,0,0.002006173,0,0,0.000162443,0,1.35E-05,205.2
Water Column,7/29/2019,July,40,190730002-03,2,8.01,0,0,0,0,0.267,0,0,0,0,0.002131226,0,0,0,0,2.12E-05,125.28
Water Column,7/29/2019,July,16,190730003-01,3,13.01,0,0,0,0,0.433666667,0,0,0,0,0.011472663,0,0,0,0,0.00044325,37.8
Water Column,7/29/2019,July,20,190730003-02,3,8.68,0,0,0,0,0.289333333,0,0,0,0,0.005640026,0,0,0,0,0.000151994,51.3
Water Column,7/29/2019,July,19,190730003-03,3,12.68,0,0,0,2,0.422666667,0,0,0,0.066666667,0.026090535,0,0,0,0.004115226,0.002540263,16.2
Steelhead Guts,4/22/2019,Fish,SH 73,4/22/2019,Fish,0,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,4/22/2019,Fish,SH 74,4/22/2019,Fish,1,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,4/22/2019,Fish,SH 75,4/22/2019,Fish,1,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,4/22/2019,Fish,SH 76,4/22/2019,Fish,2,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,5/3/2019,Fish,SH 77,5/3/2019,Fish,0,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,5/26/2019,Fish,SH 78,5/26/2019,Fish,5,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,5/26/2019,Fish,SH 79,5/26/2019,Fish,0,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,4/17/2019,Fish,SH 80,4/17/2019,Fish,2,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,4/17/2019,Fish,SH 81,4/17/2019,Fish,2,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,5/31/2019,Fish,SH 82,5/31/2019,Fish,1,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,5/13/2019,Fish,SH 83,5/13/2019,Fish,0,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,5/27/2019,Fish,SH 84,5/27/2019,Fish,1,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,5/30/2019,Fish,SH 85,5/30/2019,Fish,0,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,4/21/2019,Fish,SH 86,4/21/2019,Fish,2,1,0,0,0,,,,,,,,,,,,
Steelhead Guts,4/21/2019,Fish,SH 87,4/21/2019,Fish,1,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,5/31/2019,Fish,SH 88,5/31/2019,Fish,0,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,,Fish,SH 89,,Fish,0,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,4/26/2019,Fish,SH 90,4/26/2019,Fish,1,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,4/26/2019,Fish,SH 91,4/26/2019,Fish,0,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,4/26/2019,Fish,SH 92,4/26/2019,Fish,2,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,4/16/2019,Fish,SH 93,4/16/2019,Fish,0,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,5/2/2019,Fish,SH 94,5/2/2019,Fish,2,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,5/2/2019,Fish,SH 95,5/2/2019,Fish,0,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,5/1/2019,Fish,SH 96,5/1/2019,Fish,0,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,5/1/2019,Fish,SH 97,5/1/2019,Fish,0,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,5/1/2019,Fish,SH 98,5/1/2019,Fish,2,0,0,0,0,,,,,,,,,,,,
Steelhead Guts,5/4/2019,Fish,SH 99,5/4/2019,Fish,0,0,0,0,0,,,,,,,,,,,,
