Sample_Source,Date,Time,SampleID,FieldID,Dark Blue Fiber,Black Fiber,Clear Fiber,Pink Fiber,Light Blue Fiber,Green Fiber,Bright Blue Fiber,White Fiber,Gray Fiber,Teal Fiber,Red Fiber,Yellow Fiber,Orange Fiber,Blue Fragment,Blue Square Particle,Light Blue Fragment,Pink Fragment Tube,Light Yellow Fragment,Red Fragment,Mauve Shard,White Shard,White Fragment,Orange Fragment,Bright Yellow Fragment,Clear Fragment,Black Fragment,Foam,Styrofoam,Unknown,Total,Photo,SlideBox,Notes,forklength
Steelhead Guts,4/22/2019,Fish,SH 73,4/22/2019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"105-108, 109-110","42, 43",,107
Steelhead Guts,4/22/2019,Fish,SH 74,4/22/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,102-104,41,,82
Steelhead Guts,4/22/2019,Fish,SH 75,4/22/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48-49,26,,76
Steelhead Guts,4/22/2019,Fish,SH 76,4/22/2019,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50-53,"27, 28",,143
Steelhead Guts,5/3/2019,Fish,SH 77,5/3/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58-59,30,,155
Steelhead Guts,5/26/2019,Fish,SH 78,5/26/2019,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,54-57,29,,128
Steelhead Guts,5/26/2019,Fish,SH 79,5/26/2019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14-18,9,,95
Steelhead Guts,4/17/2019,Fish,SH 80,4/17/2019,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,46,24,,93
Steelhead Guts,4/17/2019,Fish,SH 81,4/17/2019,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,25,,85
Steelhead Guts,5/31/2019,Fish,SH 82,5/31/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42-43,22,,65
Steelhead Guts,5/13/2019,Fish,SH 83,5/13/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37-38,19,,86
Steelhead Guts,5/27/2019,Fish,SH 84,5/27/2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13-Dec,8,,52
Steelhead Guts,5/30/2019,Fish,SH 85,5/30/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,21,2 white items - likely fish bones,77
Steelhead Guts,4/21/2019,Fish,SH 86,4/21/2019,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,39-40,20,Check pink fragment/polygon,86
Steelhead Guts,4/21/2019,Fish,SH 87,4/21/2019,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35-36,18,,152
Steelhead Guts,5/31/2019,Fish,SH 88,5/31/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,16,Lots of sediment,45
Steelhead Guts,,Fish,SH 89,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,"1, 2",,58
