Sample_Source,Date,Time,SampleID,FieldID,Plot,Dark Blue Fiber,Black Fiber,Clear Fiber,Pink Fiber,Light Blue Fiber,Green Fiber,Bright Blue Fiber,White Fiber,Gray Fiber,Teal Fiber,Red Fiber,Yellow Fiber,Orange Fiber,Blue Fragment,Blue Square Particle,Light Blue Fragment,Pink Fragment Tube,Light Yellow Fragment,Red Fragment,Mauve Shard,White Shard,White Fragment,Orange Fragment,Bright Yellow Fragment,Clear Fragment,Black Fragment,Foam,Styrofoam,Unknown,Total,Photo,SlideBox,Notes,Water Height,Net Opening Area (m2),Velocity_mpersec,flow_m3persec,flow_m3permin,MP_per_min,MP_per_m3,Type
Water Column,4/10/2019,April,"65, 66",190410001-01,1,0,13.34,0.67,0,0,0,1,0,0,0,0.67,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,21.68,257-259,91,,0.38,0.13939,0.48,0.0669072,4.014432,0.722666667,0.180017165,Water_Column
Water Column,4/10/2019,April,59,190410001-02,1,0,3.34,0.67,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8.01,"243-246, 44-45","3, 23, 86",,0.43,0.13939,0.46,0.0641194,3.847164,0.267,0.069401772,Water_Column
Water Column,4/10/2019,April,58,190410001-03,1,0.67,7.34,0.67,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.35,"299-302, 122-127","48,108",,0.47,0.13939,0.47,0.0655133,3.930798,0.378333333,0.09624848,Water_Column
Water Column,4/10/2019,April,42,190410002-01,2,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.34,282-284,99,,0.36,0.13939,0.68,0.0947852,5.687112,0.211333333,0.037160044,Water_Column
Water Column,4/10/2019,April,"70, 71, 72",190410002-02,2,0,3.34,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.34,296,105,,0.35,0.13939,0.99,0.1379961,8.279766,0.278,0.033575828,Water_Column
Water Column,4/10/2019,April,"62, 63, 64",190410002-03,2,0,5.34,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.34,256,90,,0.32,0.13939,0.82,0.1142998,6.857988,0.278,0.040536671,Water_Column
Water Column,4/10/2019,April,51,190410003-01,3,0,3.34,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,240-242,85,,0.3,0.1371,0.34,0.046614,2.79684,0.133666667,0.047792032,Water_Column
Water Column,4/10/2019,April,"67, 68",190410003-02,3,0,2.34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,273-274,96,,0.32,0.13939,0.35,0.0487865,2.92719,0.111333333,0.038034201,Water_Column
Water Column,4/10/2019,April,53,190410003-03,3,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,247,87,,0.28,0.12796,0.33,0.0422268,2.533608,0.022333333,0.008814834,Water_Column
Water Column,4/10/2019,April,49,190410004-01,4,0,2.34,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34,297,106,,0.27,0.12339,0.39,0.0481221,2.887326,0.144666667,0.050104029,Water_Column
Water Column,4/10/2019,April,48,190410004-02,4,0,2.34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5.34,248-251,88,,0.31,0.14167,0.43,0.0609181,3.655086,0.178,0.048699265,Water_Column
Water Column,4/10/2019,April,12,190410005-01,5,2.67,4.34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,"133-135, 115","45, 50",,0.26,0.11882,0.4,0.047528,2.85168,0.267,0.093629019,Water_Column
Water Column,4/10/2019,April,50,190410005-02,5,0,0,0.67,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,269-270,94,,0.32,0.13939,0.41,0.0571499,3.428994,0.089,0.025955134,Water_Column
