Sample_Source,Date,Time,SampleID,FieldID,Plot_Number,Plot,Dark Blue Fiber,Black Fiber,Clear Fiber,Pink Fiber,Light Blue Fiber,Green Fiber,Bright Blue Fiber,White Fiber,Gray Fiber,Teal Fiber,Red Fiber,Yellow Fiber,Orange Fiber,Blue Fragment,Blue Square Particle,Light Blue Fragment,Pink Fragment Tube,Light Yellow Fragment,Red Fragment,Mauve Shard,White Shard,White Fragment,Orange Fragment,Bright Yellow Fragment,Clear Fragment,Black Fragment,Foam,Styrofoam,Unknown,Total,Photo,SlideBox,Notes,Water Height,Net Opening Area (m2),Velocity_mpersec,flow_m3persec,flow_m3permin,MP_per_min,MP_per_m3,Type
Water Column,4/10/2019,April,"65, 66",190410001-01,,Archibald,0,13.34,0.67,0,0,0,1,0,0,0,0.67,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,21.68,257-259,91,,0.38,0.13939,0.48,0.0669072,4.014432,0.722666667,0.180017165,Water_Column
Water Column,4/10/2019,April,59,190410001-02,,Archibald,0,3.34,0.67,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8.01,"243-246, 44-45","3, 23, 86",,0.43,0.13939,0.46,0.0641194,3.847164,0.267,0.069401772,Water_Column
Water Column,4/10/2019,April,58,190410001-03,,Archibald,0.67,7.34,0.67,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.35,"299-302, 122-127","48,108",,0.47,0.13939,0.47,0.0655133,3.930798,0.378333333,0.09624848,Water_Column
Water Column,5/14/2019,May,31,190514001-01,,Archibald,0,7.34,0.67,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.68,162-163,57,,0.26,0.11882,0.29,0.0344578,2.067468,0.322666667,0.156068518,Water_Column
Water Column,5/14/2019,May,11,190514001-02,1,Archibald,0,2.34,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,224,81,,0.26,0.11882,0.31,0.0368342,2.210052,0.133666667,0.060481232,Water_Column
Water Column,5/14/2019,May,35,190514001-03,1,Archibald,0,2.34,0.67,0,1.67,0,1,0,0,0,1.67,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9.35,225-230,82,,0.2,0.0914,0.35,0.03199,1.9194,0.311666667,0.162377132,Water_Column
Water Column,6/17/2019,June,34,190617001-01,1,Archibald,0,2.34,0,0,0.67,0,0,0,0,0,0.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,191-193,67,Large blue tarp,0.18,0.08226,0.21,0.0172746,1.036476,0.156,0.150509997,Water_Column
Water Column,6/17/2019,June,17,190617001-02,1,Archibald,0,10.34,1.67,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.01,147-152,54,,0.28,0.12796,0.22,0.0281512,1.689072,0.500333333,0.296217884,Water_Column
Water Column,6/17/2019,June,14,190617001-03,1,Archibald,0,9.34,1.67,0,1.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.68,95-98,39,,0.34,0.15538,0.23,0.0357374,2.144244,0.456,0.212662365,Water_Column
Water Column,7/29/2019,July,3,190729001-01,1,Archibald,2.67,0.34,5.67,1,1.67,0,0,0,0,0,0.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.02,73-76,33,,0.2,0.0914,0.18,0.016452,0.98712,0.434,0.439662858,Water_Column
Water Column,7/29/2019,July,2,190729001-02,1,Archibald,8.67,14.34,0,0,0.67,0,0,0,0,1,0.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.35,89-94,38,,0.22,0.10054,0.12,0.0120648,0.723888,0.878333333,1.213355289,Water_Column
Water Column,7/29/2019,July,13,190729001-03,1,Archibald,0.67,2.34,2.67,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35,99-101,40,,0.23,0.10511,0.12,0.0126132,0.756792,0.278333333,0.367780491,Water_Column
Water Column,4/10/2019,April,49,190410004-01,4,Cemetery,0,2.34,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34,297,106,,0.27,0.12339,0.39,0.0481221,2.887326,0.144666667,0.050104029,Water_Column
Water Column,4/10/2019,April,48,190410004-02,4,Cemetery,0,2.34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5.34,248-251,88,,0.31,0.14167,0.43,0.0609181,3.655086,0.178,0.048699265,Water_Column
